timestamp,status,remote,refid,stratum,type,when_seconds,poll,reach,delay_ms,offset_ms,jitter_ms
2026-02-09 05:00:01,+,time-a-g.nist.g,.NIST.,1,u,753,1024,377,141.8018,40.7949,49.2712
2026-02-09 05:00:01,+,ns1.anu.edu.au,169.254.0.1,3,u,1602,1024,376,448.4773,1.0078,121.6848
2026-02-09 05:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,809,1024,377,443.624,-13.0782,140.0671
2026-02-09 05:20:01,+,140.203.204.77,162.159.200.123,4,u,885,1024,321,72.7562,41.8524,98.8749
2026-02-09 05:20:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,3000,1024,134,73.9026,19.3102,154.3066
2026-02-09 05:20:01,*,ptbtime1.ptb.de,.PTB.,1,u,15,1024,377,72.1595,19.7136,114.27
2026-02-09 05:20:01,+,time-a-g.nist.g,.NIST.,1,u,921,1024,377,141.8018,40.7949,53.8806
2026-02-09 05:20:01,+,ns1.anu.edu.au,169.254.0.1,3,u,710,1024,375,448.4773,1.0078,157.5567
2026-02-09 05:20:01,+,ntp-b3.nict.go.,.NICT.,1,u,953,1024,377,443.624,-13.0782,139.8447
2026-02-09 05:40:01,+,140.203.204.77,162.159.200.123,4,u,1030,1024,243,72.7562,41.8524,110.802
2026-02-09 05:40:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,4200,1024,270,73.9026,19.3102,154.3066
2026-02-09 05:40:01,+,ptbtime1.ptb.de,.PTB.,1,u,163,1024,377,105.6919,74.7648,102.6536
2026-02-09 05:40:01,*,time-a-g.nist.g,.NIST.,1,u,9,1024,377,141.8018,40.7949,72.4419
2026-02-09 05:40:01,+,ns1.anu.edu.au,169.254.0.1,3,u,884,1024,373,448.4773,1.0078,187.3801
2026-02-09 05:40:01,+,ntp-b3.nict.go.,.NICT.,1,u,79,1024,377,306.7616,66.7439,152.2189
2026-02-09 06:00:01,+,140.203.204.77,162.159.200.123,4,u,132,1024,217,72.5992,84.7914,106.039
2026-02-09 06:00:01,+,ntp0.cam.ac.uk,197.205.52.7,2,u,1113,1024,342,73.9026,19.3102,182.0694
2026-02-09 06:00:01,+,ptbtime1.ptb.de,.PTB.,1,u,339,1024,377,105.6919,74.7648,111.732
2026-02-09 06:00:01,*,time-a-g.nist.g,.NIST.,1,u,158,1024,377,135.2988,74.0395,48.8452
2026-02-09 06:00:01,-,ns1.anu.edu.au,169.254.0.1,3,u,1010,1024,367,448.4773,1.0078,192.1101
2026-02-09 06:00:01,+,ntp-b3.nict.go.,.NICT.,1,u,227,1024,377,306.7616,66.7439,179.5538
